job,company_name,location,job_type,description,link,date
Data Analyst Junior,Mazars,Casablanca,Full-time +1,"Vous possédez les connaissances de base parmi les technologies suivantes : SQL, ACL, data studio, PowerBI, Qlik, Alteryx, Tableau softwareetc.).",https://ma.indeed.com/rc/clk?jk=9199992ed81408bd&fccid=cf80abde47d3bd81&vjs=3,28/10/2023
DATA ANALYST-(H/F)- H/F/X,Société Générale,Maroc,Permanent,"Travailler en étroite collaboration avec les équipes de marketing, produit et technique pour améliorer et faire évoluer notre approche data marketing.",https://ma.indeed.com/rc/clk?jk=b4badc2d01fa4b3d&fccid=df6948c9b8da6236&vjs=3,28/10/2023
Data analyst,FCZ,Rabat,None,"Nous sommes à la recherche de cinq DATA ANALYST pour notre GROUPEMENT REPORTING & STATISTIQUES.-Maitrise de Microsoft (Word, Excel) ;-Bon niveau en langue…",https://ma.indeed.com/rc/clk?jk=3c1075a23ed816bc&fccid=339b83776c8428d7&vjs=3,28/10/2023
Data Analyst (F/H),MANPOWER MAROC,Casablanca,Permanent,Encodage de questionnaire sur logiciel de traitement de data.-Réalisation des comptes rendus de suivi d’activité et fiche de temps du Data analyste selon les…,https://ma.indeed.com/rc/clk?jk=be7b7dabde0a258c&fccid=c0797222e2b396e9&vjs=3,28/10/2023
Data Quality Analyst Finance,BNP Paribas,Maroc,Permanent,"Data management: recensement des anomalies de data Quality relevées sur les Reportings.-Cette citation, à elle seule, pourrait résumer l’ambition du Groupe BMCI…",https://ma.indeed.com/rc/clk?jk=17240d557883f2f0&fccid=1392500f835bba92&vjs=3,28/10/2023
DATA ANALYST (H/F),Ifcar Solutions,Skhirate,Permanent,Analyse des données pour les transformer en informations exploitables.-Création et maintenance des bases de données de l’entreprise.,https://ma.indeed.com/rc/clk?jk=1753c98e22bff061&fccid=0a31cb7cdcc8c900&vjs=3,28/10/2023
Data Analyst,Leyton Maroc,Casablanca,None,"Experience with data cleaning and data preprocessing techniques (because let's face it, data can be pretty messy).",https://ma.indeed.com/rc/clk?jk=f9b50f1f820586db&fccid=c18daf68fbd3c338&vjs=3,28/10/2023
Data analyst,None,Rabat,Permanent,"Le Data Analyst sera chargé de collecter, formater, augmenter et annoter des données destinées à l’apprentissage machine et profond.",https://ma.indeed.com/rc/clk?jk=074498c4725e92a5&fccid=dd616958bd9ddc12&vjs=3,28/10/2023
Data analyst,CF,Tanger,Permanent,"Connaissance avancée d'Excel (y compris la programmation Excel comme VBA, Macro et avec PHP, C++, SQL.).-Acteur clé dans le passage d'Excel à un système de base…",https://ma.indeed.com/rc/clk?jk=5dc90172ba5acc76&fccid=1f7b8cb8ea49067e&vjs=3,28/10/2023
Data analyst,Client de RH PRO PLUS,Rabat,Permanent,Collecter les données à partir des différentes sources.-Analyser les données en utilisant des méthodes de statistiques ;,https://ma.indeed.com/rc/clk?jk=b87d5bc620307b68&fccid=23878c46a87373aa&vjs=3,28/10/2023
